TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
3555000000.0	61452929.3	50489849.1	74796470.8
3556000000.0	61454185.4	50489191.9	74800502.1
3557000000.0	61455440.8	50488534.5	74804532.2
3558000000.0	61456695.6	50487877.0	74808561.1
3559000000.0	61457949.8	50487219.5	74812588.8
3560000000.0	61459203.3	50486561.7	74816615.3
3561000000.0	61460456.2	50485903.9	74820640.6
3562000000.0	61461708.4	50485245.9	74824664.8
3563000000.0	61462960.0	50484587.8	74828687.7
3564000000.0	61464211.0	50483929.6	74832709.5
3565000000.0	61465461.4	50483271.3	74836730.0
3566000000.0	61466711.1	50482612.8	74840749.4
3567000000.0	61467960.2	50481954.2	74844767.6
3568000000.0	61469208.7	50481295.5	74848784.6
3569000000.0	61470456.5	50480636.7	74852800.4
3570000000.0	61471703.7	50479977.8	74856815.1
3571000000.0	61472950.3	50479318.7	74860828.5
3572000000.0	61474196.3	50478659.5	74864840.8
3573000000.0	61475441.6	50478000.2	74868851.9
3574000000.0	61476686.3	50477340.8	74872861.8
3575000000.0	61477930.4	50476681.2	74876870.5
3576000000.0	61479173.9	50476021.6	74880878.1
3577000000.0	61480416.7	50475361.8	74884884.5
3578000000.0	61481658.9	50474701.9	74888889.7
3579000000.0	61482900.5	50474041.9	74892893.7
3580000000.0	61484141.4	50473381.7	74896896.5
3581000000.0	61485381.8	50472721.5	74900898.2
3582000000.0	61486621.5	50472061.1	74904898.6
3583000000.0	61487860.6	50471400.6	74908898.0
3584000000.0	61489099.0	50470740.0	74912896.1
3585000000.0	61490336.9	50470079.3	74916893.0
3586000000.0	61491574.1	50469418.4	74920888.8
3587000000.0	61492810.7	50468757.5	74924883.4
3588000000.0	61494046.7	50468096.4	74928876.9
3589000000.0	61495282.1	50467435.2	74932869.1
3590000000.0	61496516.8	50466773.9	74936860.2
3591000000.0	61497751.0	50466112.5	74940850.2
3592000000.0	61498984.5	50465450.9	74944838.9
3593000000.0	61500217.4	50464789.3	74948826.5
3594000000.0	61501449.7	50464127.5	74952812.9
3595000000.0	61502681.3	50463465.6	74956798.2
3596000000.0	61503912.4	50462803.6	74960782.3
3597000000.0	61505142.8	50462141.5	74964765.2
3598000000.0	61506372.6	50461479.3	74968746.9
3599000000.0	61507601.8	50460817.0	74972727.5
3600000000.0	61508830.4	50460154.5	74976706.9
3601000000.0	61510058.4	50459491.9	74980685.2
3602000000.0	61511285.7	50458829.3	74984662.3
3603000000.0	61512512.5	50458166.5	74988638.2
3604000000.0	61513738.6	50457503.6	74992613.0
3605000000.0	61514964.1	50456840.6	74996586.6
3606000000.0	61516189.0	50456177.4	75000559.0
3607000000.0	61517413.3	50455514.2	75004530.3
3608000000.0	61518637.0	50454850.9	75008500.4
3609000000.0	61519860.1	50454187.4	75012469.4
3610000000.0	61521082.6	50453523.8	75016437.2
3611000000.0	61522304.4	50452860.2	75020403.9
3612000000.0	61523525.7	50452196.4	75024369.4
3613000000.0	61524746.3	50451532.5	75028333.7
3614000000.0	61525966.4	50450868.5	75032296.9
3615000000.0	61527185.8	50450204.3	75036258.9
3616000000.0	61528404.6	50449540.1	75040219.8
3617000000.0	61529622.9	50448875.8	75044179.5
3618000000.0	61530840.5	50448211.3	75048138.1
3619000000.0	61532057.5	50447546.8	75052095.5
3620000000.0	61533273.9	50446882.1	75056051.7
3621000000.0	61534489.7	50446217.3	75060006.8
3622000000.0	61535704.9	50445552.5	75063960.8
3623000000.0	61536919.4	50444887.5	75067913.6
3624000000.0	61538133.4	50444222.4	75071865.3
3625000000.0	61539346.8	50443557.2	75075815.8
3626000000.0	61540559.6	50442891.9	75079765.1
3627000000.0	61541771.8	50442226.5	75083713.3
3628000000.0	61542983.3	50441560.9	75087660.4
3629000000.0	61544194.3	50440895.3	75091606.3
3630000000.0	61545404.7	50440229.6	75095551.1
3631000000.0	61546614.5	50439563.7	75099494.7
3632000000.0	61547823.6	50438897.8	75103437.2
3633000000.0	61549032.2	50438231.7	75107378.6
3634000000.0	61550240.2	50437565.6	75111318.8
3635000000.0	61551447.6	50436899.3	75115257.8
3636000000.0	61552654.3	50436233.0	75119195.7
3637000000.0	61553860.5	50435566.5	75123132.5
3638000000.0	61555066.1	50434899.9	75127068.1
3639000000.0	61556271.1	50434233.3	75131002.6
3640000000.0	61557475.5	50433566.5	75134936.0
3641000000.0	61558679.3	50432899.6	75138868.2
3642000000.0	61559882.5	50432232.6	75142799.3
3643000000.0	61561085.1	50431565.5	75146729.2
3644000000.0	61562287.1	50430898.4	75150658.0
3645000000.0	61563488.5	50430231.1	75154585.7
3646000000.0	61564689.4	50429563.7	75158512.2
3647000000.0	61565889.6	50428896.2	75162437.6
3648000000.0	61567089.2	50428228.6	75166361.8
3649000000.0	61568288.3	50427560.9	75170285.0
3650000000.0	61569486.7	50426893.1	75174207.0
3651000000.0	61570684.6	50426225.2	75178127.8
3652000000.0	61571881.9	50425557.2	75182047.5
3653000000.0	61573078.6	50424889.1	75185966.1
3654000000.0	61574274.7	50424220.9	75189883.6
3655000000.0	61575470.2	50423552.6	75193799.9
3656000000.0	61576665.1	50422884.2	75197715.1
3657000000.0	61577859.4	50422215.7	75201629.2
3658000000.0	61579053.2	50421547.1	75205542.2
3659000000.0	61580246.3	50420878.4	75209454.0
3660000000.0	61581438.9	50420209.6	75213364.7
3661000000.0	61582630.8	50419540.7	75217274.2
3662000000.0	61583822.2	50418871.7	75221182.7
3663000000.0	61585013.0	50418202.6	75225090.0
3664000000.0	61586203.3	50417533.5	75228996.2
3665000000.0	61587392.9	50416864.2	75232901.2
3666000000.0	61588581.9	50416194.8	75236805.2
3667000000.0	61589770.4	50415525.3	75240708.0
3668000000.0	61590958.3	50414855.7	75244609.7
3669000000.0	61592145.6	50414186.1	75248510.3
3670000000.0	61593332.3	50413516.3	75252409.7
3671000000.0	61594518.4	50412846.4	75256308.1
3672000000.0	61595704.0	50412176.5	75260205.3
3673000000.0	61596888.9	50411506.4	75264101.4
3674000000.0	61598073.3	50410836.3	75267996.3
3675000000.0	61599257.1	50410166.0	75271890.2
3676000000.0	61600440.4	50409495.7	75275782.9
3677000000.0	61601623.0	50408825.2	75279674.5
3678000000.0	61602805.1	50408154.7	75283565.0
3679000000.0	61603986.6	50407484.1	75287454.4
3680000000.0	61605167.5	50406813.4	75291342.7
3681000000.0	61606347.8	50406142.5	75295229.9
3682000000.0	61607527.6	50405471.6	75299115.9
3683000000.0	61608706.7	50404800.6	75303000.8
3684000000.0	61609885.3	50404129.5	75306884.7
3685000000.0	61611063.3	50403458.4	75310767.4
3686000000.0	61612240.8	50402787.1	75314649.0
3687000000.0	61613417.7	50402115.7	75318529.5
3688000000.0	61614594.0	50401444.2	75322408.8
3689000000.0	61615769.7	50400772.7	75326287.1
3690000000.0	61616944.8	50400101.0	75330164.2
3691000000.0	61618119.4	50399429.3	75334040.3
3692000000.0	61619293.4	50398757.5	75337915.2
3693000000.0	61620466.8	50398085.5	75341789.1
3694000000.0	61621639.7	50397413.5	75345661.8
3695000000.0	61622811.9	50396741.4	75349533.4
3696000000.0	61623983.6	50396069.2	75353403.9
3697000000.0	61625154.8	50395396.9	75357273.3
3698000000.0	61626325.3	50394724.6	75361141.6
3699000000.0	61627495.3	50394052.1	75365008.8
3700000000.0	61628664.8	50393379.5	75368874.9
3701000000.0	61629833.6	50392706.9	75372739.9
3702000000.0	61631001.9	50392034.2	75376603.8
3703000000.0	61632169.6	50391361.3	75380466.6
3704000000.0	61633336.8	50390688.4	75384328.3
3705000000.0	61634503.3	50390015.4	75388188.9
3706000000.0	61635669.3	50389342.3	75392048.4
3707000000.0	61636834.8	50388669.2	75395906.7
3708000000.0	61637999.7	50387995.9	75399764.0
3709000000.0	61639164.0	50387322.6	75403620.2
3710000000.0	61640327.7	50386649.1	75407475.3
3711000000.0	61641490.9	50385975.6	75411329.3
3712000000.0	61642653.5	50385302.0	75415182.2
3713000000.0	61643815.5	50384628.3	75419034.0
3714000000.0	61644977.0	50383954.5	75422884.7
3715000000.0	61646137.9	50383280.6	75426734.3
3716000000.0	61647298.3	50382606.7	75430582.9
3717000000.0	61648458.1	50381932.6	75434430.3
3718000000.0	61649617.3	50381258.5	75438276.6
3719000000.0	61650776.0	50380584.3	75442121.9
3720000000.0	61651934.1	50379910.0	75445966.0
3721000000.0	61653091.6	50379235.6	75449809.1
3722000000.0	61654248.6	50378561.1	75453651.1
3723000000.0	61655405.0	50377886.6	75457491.9
3724000000.0	61656560.9	50377211.9	75461331.7
3725000000.0	61657716.2	50376537.2	75465170.4
3726000000.0	61658870.9	50375862.4	75469008.1
3727000000.0	61660025.1	50375187.5	75472844.6
3728000000.0	61661178.7	50374512.5	75476680.0
3729000000.0	61662331.8	50373837.5	75480514.4
3730000000.0	61663484.3	50373162.3	75484347.6
3731000000.0	61664636.2	50372487.1	75488179.8
3732000000.0	61665787.6	50371811.8	75492010.9
3733000000.0	61666938.5	50371136.4	75495840.9
3734000000.0	61668088.8	50370460.9	75499669.9
3735000000.0	61669238.5	50369785.4	75503497.7
3736000000.0	61670387.6	50369109.7	75507324.5
3737000000.0	61671536.3	50368434.0	75511150.2
3738000000.0	61672684.3	50367758.2	75514974.8
3739000000.0	61673831.8	50367082.3	75518798.3
3740000000.0	61674978.8	50366406.4	75522620.7
3741000000.0	61676125.2	50365730.3	75526442.1
3742000000.0	61677271.0	50365054.2	75530262.4
3743000000.0	61678416.3	50364378.0	75534081.6
3744000000.0	61679561.0	50363701.7	75537899.7
3745000000.0	61680705.2	50363025.3	75541716.8
3746000000.0	61681848.8	50362348.9	75545532.7
3747000000.0	61682991.9	50361672.4	75549347.6
3748000000.0	61684134.5	50360995.8	75553161.4
3749000000.0	61685276.4	50360319.1	75556974.2
3750000000.0	61686417.9	50359642.3	75560785.9
3751000000.0	61687558.8	50358965.5	75564596.5
3752000000.0	61688699.1	50358288.6	75568406.0
3753000000.0	61689838.9	50357611.6	75572214.4
3754000000.0	61690978.1	50356934.5	75576021.8
3755000000.0	61692116.8	50356257.3	75579828.1
3756000000.0	61693254.9	50355580.1	75583633.4
3757000000.0	61694392.5	50354902.8	75587437.5
3758000000.0	61695529.6	50354225.4	75591240.6
3759000000.0	61696666.1	50353547.9	75595042.6
3760000000.0	61697802.0	50352870.4	75598843.6
3761000000.0	61698937.4	50352192.8	75602643.5
3762000000.0	61700072.3	50351515.1	75606442.3
3763000000.0	61701206.6	50350837.3	75610240.1
3764000000.0	61702340.4	50350159.5	75614036.8
3765000000.0	61703473.6	50349481.6	75617832.4
3766000000.0	61704606.3	50348803.6	75621626.9
3767000000.0	61705738.4	50348125.5	75625420.4
3768000000.0	61706870.1	50347447.3	75629212.8
3769000000.0	61708001.1	50346769.1	75633004.2
3770000000.0	61709131.6	50346090.8	75636794.5
3771000000.0	61710261.6	50345412.4	75640583.7
3772000000.0	61711391.0	50344734.0	75644371.9
3773000000.0	61712519.9	50344055.5	75648159.0
3774000000.0	61713648.3	50343376.9	75651945.1
3775000000.0	61714776.1	50342698.2	75655730.1
3776000000.0	61715903.4	50342019.5	75659514.0
3777000000.0	61717030.1	50341340.7	75663296.9
3778000000.0	61718156.3	50340661.8	75667078.7
3779000000.0	61719281.9	50339982.8	75670859.5
3780000000.0	61720407.1	50339303.8	75674639.2
3781000000.0	61721531.6	50338624.7	75678417.8
3782000000.0	61722655.7	50337945.5	75682195.4
3783000000.0	61723779.2	50337266.2	75685971.9
3784000000.0	61724902.2	50336586.9	75689747.4
3785000000.0	61726024.6	50335907.5	75693521.8
3786000000.0	61727146.5	50335228.0	75697295.2
3787000000.0	61728267.8	50334548.5	75701067.5
